brand,handle,selectionReason,authentic,authenticVia,suggestedBucket,postUrl,imageUrl,isVideo,likes,comments,engagement,datePosted,stale,caption
Himalaya,wellwithnoa,top_performing,false,,adjacent,https://www.instagram.com/p/CTCzsEOFyAT/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/26ae335e9faf4a97968c38e57f49a801.jpeg,false,692,53,745,2021-08-26,true,"It’s time to say goodbye to stress and Hello to a better you! Hello Energy, Hello Joy & Hello Peace offer herbal support that is clinically studied, Non-GMO, gluten-free and vegan…"
Forest Essentials,makeupbeauty.in,top_performing,false,,adjacent,https://www.instagram.com/p/DbEEgNkGJCB/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/eb765649b16447d8a8232836e31a6778.jpeg,false,698,2,700,2026-07-21,false,☀️ Forest Essentials Ayurvedic Mineral Sunscreen SPF 50 PA++++ ✨ Explore this product on MAB Shop (🔗 Link in bio) Protect your skin every day with a lightweight mineral sunscreen…
Juicy Chemistry,righteousrootsoils,top_performing,false,,adjacent,https://www.instagram.com/p/CDLH3pIAUcj/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/ad6d7424596e47ab96aa5f3739d11644.jpeg,true,608,14,622,2020-07-28,true,"Repost: @curlywavynidhi... Tend to your hair as if it's your favourite (and very expensive) silk saree! That's how gentle you have to be. . . What I used, 🦁 #juicy_chemistry Sach…"
Juicy Chemistry,nybeautymemoir,top_performing,false,,adjacent,https://www.instagram.com/p/ByXO3B2h-OI/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/1d8d1e67367e44ea901fba00fd8c1b20.jpeg,false,605,16,621,2019-06-06,true,"We all are aware of few basic causes of dark circle such as Lifestyle Excessive smoking Consumption of Alcohol. Heredity Sleep deprivation Stress However, we often ignore or not a…"
Juicy Chemistry,foodie_by_nature_2000,top_performing,false,,adjacent,https://www.instagram.com/p/CPZlioQlQ0m/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/7a5cc84b2a0542bbb3762c05e14e4941.jpeg,false,393,83,476,2021-05-28,true,Start your morning with fresh watermelon juice:) 🍉🍉🍹🍹 . #gudmorning #morningvibes #healthyndtasty #wathermelonjuice #juicephotography #juicey #juicelife #juiceygirl #juicelove…
Lotus Herbals,film_by_him_page,top_performing,false,,adjacent,https://www.instagram.com/p/DWua-gAE1p6/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/5342886a52ef4f0a82c79281ec82ca7f.jpeg,true,413,32,445,2026-04-04,false,"Sun protection, but make it cinematic ☀️💧 We turned #lotus_herbals Hydroactivated Sunscreen into a visual experience blending hydration, light, and texture into a world crafted e…"
Himalaya,almarsrl,top_performing,false,,adjacent,https://www.instagram.com/p/CP-rQU5L-84/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/129cb1e3b0884517ac7968edc735d118.jpeg,false,333,56,389,2021-06-11,true,"Oferta #himalaya ""el segundo producto 20% de descuento"". Himalaya ofrece una línea completa de formulaciones herbales clínicamente estudiadas, hierbas individuales orgánicas certi…"
Juicy Chemistry,jhanviiibhatt,top_performing,false,,adjacent,https://www.instagram.com/p/BUo_eNgloKE/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/29edb4f756d84754827f3d50f0749da7.jpeg,false,378,3,381,2017-05-28,true,☀Does your skin get dull & oily half way through the day? 🏃Crave for a quick cleanser Got from @juicy_chemistry It helps to perk up your skin cell👌 and control oiliness and even…
Vilvah,vilvah_,authentic,true,alias,direct,https://www.instagram.com/p/Db7ofdKGV0v/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/ffa38dbe9ae149ddb59779c4e23fa13d.jpg,true,325,6,331,2026-08-12,false,"Made with Nature + Science. Tested on real scalps. Loved by real people. 🌿 Here's a sneak peek at what's been happening behind the scenes with our Hair Growth Serum, and what cus…"
Himalaya,alandime20,top_performing,false,,adjacent,https://www.instagram.com/p/Cb37wstLsqX/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/90b87ca02e8f4bf98fc7b6caa17de0d6.jpeg,false,266,12,278,2022-04-03,true,My first time take turmeric supplements. I received this herbal supplement bottle from @bzzagent @himalayausa a week ago and have been taking it ever since. I love that the turmer…
Patanjali,patanjaliproducts,authentic,true,exact,direct,https://www.instagram.com/p/Db7c7znETMu/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/78f9d60787c14631831082d66c4d2b72.jpeg,false,261,8,269,2026-08-12,false,"🎉 Full Paisa Wasool Sale at Smart Bazaar & JioMart! 🎉 Don’t miss out on your favorite Patanjali Products at the ultimate Paisa Vasool Sale, happening from 12th–16th August 2026!…"
Forest Essentials,worldmarkgurgaon,top_performing,false,,adjacent,https://www.instagram.com/p/Db3D8erEn3G/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/d5aafb94f89944fa820cee8eee5b1026.jpeg,false,259,1,260,2026-08-10,false,"A Beautiful Evening of Ayurveda, Wellness & Indulgence. Some evenings are more than moments, they become experiences to savour. The @forestessentials experience at @worldmarkgurga…"
Vilvah,vilvah_,authentic,true,alias,direct,https://www.instagram.com/p/DbLOTqFmRME/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/6dd9afdf5be541e4bd7a5dc53a65d1ac.jpeg,false,213,28,241,2026-07-24,false,"Your outfit changes. Your mood changes. Your lip balm should too. 💋 From subtle tints to playful pops of colour, every Vilvah Lip Balm is crafted with nourishing, lip-loving ingr…"
Lotus Herbals,tulika.viaje,top_performing,false,,adjacent,https://www.instagram.com/p/CZJ4XdHB7CP/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/5ff1ffa652b3451fbe6f16785563e149.jpg,false,163,43,206,2022-01-25,true,"@lotus_herbals coffee series is still somthing I'm enjoying... Is someone out there like me? Well, they are good looking so I won't be shocked if you are one of them.! 😉 The gorg…"
Vilvah,vilvah_,authentic,true,alias,direct,https://www.instagram.com/p/DcF9mpeDd_9/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/7a56950f5b824354be4e9aa8a9446ba0.jpg,false,194,1,195,2026-08-16,false,"Not every ingredient made the cut. For Vilvah Hair Growth Serum, every ingredient had to earn its place. 🌿 Handpicked 🔬 Tested 🧪 Tried 📊 Evaluated ✨ Refined And before we laun…"
Lotus Herbals,tulika.viaje,top_performing,false,,adjacent,https://www.instagram.com/p/CXEABRbBnu7/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/5ede087b54c64438b2b5c015cfe01849.jpg,false,162,28,190,2021-12-04,true,"""Swatches"" Winter brings out that cozy feeling and makes that morning coffee more enjoyable 🤤 On that note, how would you feel if you'll be wearing coffee themed nail shades too …"
Lotus Herbals,tulika.viaje,top_performing,false,,adjacent,https://www.instagram.com/p/CsNpAssuF9m/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/faa764912628467081cec33c20ec674f.jpg,false,135,24,159,2023-05-14,true,"@lotus_herbals coffee series is still somthing I'm enjoying... Is someone out there like me? Well, they are good looking so I won't be shocked if you are one of them.! 😉 The gorg…"
Patanjali,patanjaliproducts,authentic,true,exact,direct,https://www.instagram.com/p/DbNHc1hDbL7/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/da2270bef2064cabaf70ad5c1ecb6cf2.jpeg,false,127,23,150,2026-07-25,false,"Some jars hold more than just flavor - they hold family traditions. 💚 For generations, Murabba has been a simple way to add a touch of goodness to everyday life. Now, bring home …"
Forest Essentials,aipl_club_aqua,top_performing,false,,adjacent,https://www.instagram.com/p/DbnpXcWmpTX/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/4ffc2d1ccc744c968d18e28118bf66ec.jpeg,false,90,4,94,2026-08-04,false,"An evening dedicated to slowing down, breathing deeply, and reconnecting within. In collaboration with @forestessentials and @akiko.rhythm, AIPL Club Aqua curated a wellness exper…"
Just Herbs,justherbsindia,authentic,true,exact,direct,https://www.instagram.com/p/DRT1lPMjHMq/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/93fc60a3df454a59be1ebc6517c118e7.jpeg,false,71,15,86,2025-11-21,false,Thoughtfully crafted with 11 Ayurvedic herb blend to give your skin a radiant glow and instant 2X mosuturisation. 💧🌿 Our Deep Nourishing Face Serum is the fix your skin needs th…
Just Herbs,justherbsindia,authentic,true,exact,direct,https://www.instagram.com/p/DQuOvCdjPHh/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/351ba5722ab548caba26a8ed00ce4c59.jpeg,false,75,9,84,2025-11-06,false,"Ever seen matte glide like ghee? 👀💄 That’s the Just Herbs difference, A matte so smooth, it feels like skincare. 🌿✨️ Powered by Pure Ghee for a soft, nourished pout that lasts …"
Forest Essentials,mall11jabalpur,top_performing,false,,adjacent,https://www.instagram.com/p/Dbyd5ndjTRs/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/78f62fdffedb486d804c5a84e78b0635.jpeg,true,75,1,76,2026-08-08,false,"@forestessentials Now Open at @mall11jabalpur — where the timeless wisdom of #Ayurveda meets refined skincare and indulgent self-care. Step into a world of exquisite formulations,…"
Forest Essentials,bimalbharti123,top_performing,false,,adjacent,https://www.instagram.com/p/Dbn3tOomWk2/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/b2adfdb20d7045eba0cefb54fad20c11.jpeg,false,69,3,72,2026-08-04,false,"#forestessentials #luxurious #Jasminefragrance #luxurylifes #If you want to burn like the sun, you must grow every day.📌🔥"
Just Herbs,justherbsindia,authentic,true,exact,direct,https://www.instagram.com/p/DQzOPQsDGmx/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/88f31d55f24a4bd3bcdb85b6497db200.jpeg,false,56,13,69,2025-11-08,false,"A matte that actually cares 🌿✨️ Introducing Just Herbs Herb-enriched Ayurvedic Lipstick 💄🌿 A nourishing Ayurvedic formula, made to last all day 🌿✨️ #JustHerbs #JustHerbsIndia …"
Just Herbs,justherbsindia,authentic,true,exact,direct,https://www.instagram.com/p/DRR0LEiDLyM/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/ff9fc33fca6e4132a7758a746c807666.jpeg,false,64,4,68,2025-11-20,false,"Warm, golden and luxuriously lightweight, our Deep Nourishing Face Serum melts effortlessly into your skin- fighting winter dryness and wrapping your skin in long-lasting moisturi…"
Just Herbs,justherbsindia,authentic,true,exact,direct,https://www.instagram.com/p/DQZZi4pjHOL/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/650bbae6376b49598b977a89d5c63a24.jpeg,true,62,5,67,2025-10-29,false,"Ghee-glazed lips in every swipe! 💋💄 Powered by Ashwagandha, Brahmi, Pure Ghee and many more lip loving herbs 🌿✨ Get yours now from the link in bio 🛍️ #justherbs #justherbsindi…"
Just Herbs,justherbsindia,authentic,true,exact,direct,https://www.instagram.com/p/DTksKKOjEyk/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/56b2d05952e3483a84bdbe5070343fcc.jpeg,false,51,15,66,2026-01-16,false,"Hair strands missing from the usual crime scenes? That’s not a mystery, that’s results. 💚 Meet the culprit behind stronger hair days: Introducing Just Herbs Anti-Hairfall Shampoo…"
Kama Ayurveda,kamaayurveda,authentic,true,exact,direct,https://www.instagram.com/p/DandtPZEs_v/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/d554711907b043b4b8b9726f7c090b56.jpeg,false,61,2,63,2026-07-10,false,"Kansa vs Gua Sha? One ritual goes further. Our award-winning Kansa Wand doesn't just sculpt. It helps depuff, stimulate lymphatic drainage, boost blood circulation and release fac…"
Just Herbs,justherbsindia,authentic,true,exact,direct,https://www.instagram.com/p/DSpNZeODPz7/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/a260cd3873d547f280e5db627f131deb.jpg,false,59,3,62,2025-12-24,false,"Ho Ho Ho! Santa approves this glow 🎅 Celebrate Christmas with deep ghee nourishment for winter-ready glow ✨ Nourish your skin with the goodness of Ghee, 24 carat gold and bakuchi…"
Just Herbs,justherbsindia,authentic,true,exact,direct,https://www.instagram.com/p/DQ6ucvvDN4A/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/fcd71e7589954a3aa53bc8442fb49891.jpeg,false,49,5,54,2025-11-11,false,Meet your new favourite matte — one that cares as much as it stuns. 💋✨ Hydrating and so smooth because beauty feels better when it’s good for you. 🌿 #JustHerbs #JustHerbsIndia #…
Himalaya,garnersgreenville,top_performing,false,,adjacent,https://www.instagram.com/p/CsZByxUu0RC/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/c11e60fa336247e8ab1d70838ce40169.jpeg,false,50,3,53,2023-05-18,true,We are excited to announce that we now carry Ashwagandha Organic Gummies from the fine folks at @himalayausa! Ashwagandha is a true adaptogen that has been used for centuries for …
Just Herbs,justherbsindia,authentic,true,exact,direct,https://www.instagram.com/p/DQg_LIeDKY8/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/3cecfca9cc23404abf9eca8294f36ebd.jpeg,false,49,1,50,2025-11-01,false,"💋 Think you know matte lipsticks? Think again. From “Matte = dry lips” to “Natural = not long-lasting”, we’ve heard it all. So we decided to say — MEH. 🌿 Swipe through to bust e…"
Just Herbs,justherbsindia,authentic,true,exact,direct,https://www.instagram.com/p/DTnNc5yjOXC/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/eacfb55934d8446c8df2e86545fa5aec.jpeg,false,44,1,45,2026-01-17,false,"The secret to less hair fall? A calmer, healthier scalp—nurtured with Rosemary & Amla. 🌱 #justherbs #justherbsindia #cleanbeauty #hairfallcontrol"
Himalaya,lizziesherbshop,top_performing,false,,adjacent,https://www.instagram.com/p/CHf-8nYJMWR/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/be3e631de2f7435188e3910e68b35349.jpeg,true,38,3,41,2020-11-12,true,Sari we’re not sari😜about these free gift totes when you purchase a @himalayausa product!♥️Come by today to learn more + shop with us🛍
Just Herbs,justherbsindia,authentic,true,exact,direct,https://www.instagram.com/p/DQpDrXdDGUc/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/43b05548f019444f837799db2f906b2a.jpeg,false,39,2,41,2025-11-04,false,"What’s your vibe? Swipe to explore all shades of our Herb-enriched Matte Liquid Lipstick 💄🌿 From bold reds to soft nudes to bright pinks, find your perfect match that speaks you…"
Kama Ayurveda,kamaayurveda,authentic,true,exact,direct,https://www.instagram.com/p/DadUbDIFhdA/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/43ac28182b844b3e9ba289afe255b8d7.jpeg,false,38,2,40,2026-07-06,false,We're so happy to share that our iconic Kansa Wand has been honoured with a Condé Nast Traveller Beauty Awards 2026. A recognition celebrating the timeless Ayurvedic ritual that h…
Just Herbs,justherbsindia,authentic,true,exact,direct,https://www.instagram.com/p/DTQIwWbjCMu/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/633a485249c24468adf72649a794f2de.jpeg,false,37,1,38,2026-01-08,false,"Your glow called. It wants ghee. 🧴✨ Here’s the little secret: when ghee is slow-churned, it breaks down into stable, skin-compatible fatty acids that sink in beautifully, without…"
Just Herbs,justherbsindia,authentic,true,exact,direct,https://www.instagram.com/p/DTp7FagDC_W/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/8e7c55e99df947a08d63bd09d9dd9551.jpeg,false,35,2,37,2026-01-18,false,"Harsh shampoos clog your scalp, weaken roots and quietly trigger hair fall. 😵 By the time you notice, the damage is already done. ❌ Switch early. ✅ Just Herbs Anti Hairfall Shamp…"
Vaadi Herbals,vaadiherbal,authentic,true,exact,direct,https://www.instagram.com/p/CZ1HYIIl8LM/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/4766018520cc43c6a9953fd80092de58.jpeg,true,27,9,36,2022-02-11,true,"This Valentine 💕, Gift that your loved ones deserve the most. 😍 Show how much they mean to you by gifting them natural beauty. Explore our exclusive gift set options which are a…"
Just Herbs,justherbsindia,authentic,true,exact,direct,https://www.instagram.com/p/DRuEYG4DE5Z/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/39dad9db8383495b8b67ad1f2c903f43.jpeg,false,34,0,34,2025-12-01,false,"When winter steals moisture 2x faster, your glow needs a little backup. 🌿✨ Our Deep Nourishing Souffle Cream steps in to restore balance and bring back your winter glow. 🌿 Shop …"
Just Herbs,justherbsindia,authentic,true,exact,direct,https://www.instagram.com/p/DRhliOADK8_/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/2d907c7da1ac4b2481ab653023e87d3b.jpg,false,31,2,33,2025-11-26,false,"✨ Meet your winter skin’s power duo — 24k Gold–kissed hydration + Ghee-rich nourishment. Instant moisture boost, zero grease. Just glow. ❄️💛 #JustHerbs #JustHerbsIndia #Ayurvedic…"
Just Herbs,justherbsindia,authentic,true,exact,direct,https://www.instagram.com/p/DRUT9KGDF-N/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/3cda0694524547ed8c879ad97326a9ec.jpeg,false,31,0,31,2025-11-21,false,"Meet the winter skincare essential your dull dry skin will thank you for ❄️✨ Deep Nourishing Souffle Cream- A luxe blend of pure Ghee, 24k Gold, and a petal-soft finish that melts…"
Just Herbs,justherbsindia,authentic,true,exact,direct,https://www.instagram.com/p/DTac0eAjFbd/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/5edf46e87b0c4c09a70cc72d9f6743d7.jpeg,false,30,0,30,2026-01-12,false,"Rooted in Ayurveda and crafted with time-tested ingredients, these formulas are winning hearts for all the right reasons- deep nourishment, zero stickiness and that soft, healthy …"
Just Herbs,justherbsindia,authentic,true,exact,direct,https://www.instagram.com/p/DQv5r7oDJub/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/3d9c386a3f3941d4818292d82136a1b7.jpeg,true,27,3,30,2025-11-07,false,Just happy faces- in love with our Herb-enriched Matte Liquid Lipstick!💄🌿 Shop now from the link in bio 🛒🛍 #JustHerbs #JustHerbsIndia #CleanMakeup #CleanBeauty
Just Herbs,justherbsindia,authentic,true,exact,direct,https://www.instagram.com/p/DTVL0AVjAiy/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/331a9b6a30d4448ea3b76244ddd9909b.jpeg,false,26,2,28,2026-01-10,false,"Meet Bakuchiol- the Ayurvedic powerhouse that helps improve skin elasticity, improves skin tone, minus the usual irritation. 🌿✨ 💛 24K Gold + Bakuchiol Deep Nourishing Face Serum…"
Just Herbs,justherbsindia,authentic,true,exact,direct,https://www.instagram.com/p/DRKgJ-8jAYH/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/70d9a74cef63430eb019b100cf583463.jpeg,false,25,3,28,2025-11-17,false,"Meet the winter ritual that melts into your skin like magic, giving you instant 200% moisture boost. ✨❄️ Powered by elixirs like Ghee, Bakuchiol & 24K Gold— this formula is bottle…"
Kama Ayurveda,kamaayurveda,authentic,true,exact,direct,https://www.instagram.com/p/Dbbf6q4HeYM/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/8e6ace7939ba45bbb5f75c7dfcacdd11.jpeg,false,26,0,26,2026-07-30,false,"The best summer glow is the one you care for. ☀️ Powered by 600 saffron flowers, Kumkumadi Facial Oil nourishes and replenishes skin after a day in the sun, revealing radiant skin…"
Vaadi Herbals,vaadiherbal,authentic,true,exact,direct,https://www.instagram.com/p/CZyROiwNocJ/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/ce8550f7d73f425c91163404a16c166c.jpeg,false,19,6,25,2022-02-10,true,"This Valentine💕, fall in love with your hair with 100% organic hair care set and bid adieu to your all hair problems. 😍 🛒 Offer applicable at our online store only ⭐ FLAT 20% O…"
Just Herbs,justherbsindia,authentic,true,exact,direct,https://www.instagram.com/p/DRUrrEZjNhc/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/a011b8ea3b1742b09af05d4569b6145a.jpeg,false,24,1,25,2025-11-21,false,"Rich, creamy, weightless & non-greasy. ✨ Let our Deep Nourishing Souffle Cream melt into your skin like a dream, giving you instant 2x moisture boost for a plumpy, radiant & healt…"
Just Herbs,justherbsindia,authentic,true,exact,direct,https://www.instagram.com/p/DT2wYoVDATA/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/82f8942fcb3b4515967e28f828123b73.jpeg,false,23,1,24,2026-01-23,false,Stronger roots = less hairfall ✨ Just Herbs Anti Hairfall Shampoo- infused with Amla & Rosemary for 8X hairfall reduction! Because healthy hair starts at the root 🌿✨ #justherbs #…
Kama Ayurveda,kamaayurveda,authentic,true,exact,direct,https://www.instagram.com/p/Dar-DeAku_j/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/7ffec4e257e14af2aa0c1481a8117127.jpeg,false,23,0,23,2026-07-12,false,"Two award-winning icons. One glow ritual. ✨ Powered by 600 saffron flowers, our iconic Kumkumadi Facial Oil works in perfect harmony with our newly award-winning Kansa Wand. Toget…"
Just Herbs,justherbsindia,authentic,true,exact,direct,https://www.instagram.com/p/DT9z26BjFms/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/5423f3a1c0184b3d82ac39cdf8e67c63.jpeg,false,23,0,23,2026-01-26,false,"Happy Republic Day 🇮🇳 This Republic Day, choose freedom from flakes & breakage. #republicday #justherbs #justherbsindia #cleanbeauty #ayurveda"
